REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT
1762,2003,E Indonesia_PNG,Indo-Pacific,0.6,28.1,-0.76785,116.77028,-8.71389
1763,2002,Taiwan_Japan,Indo-Pacific,20,21.9,0.36485,128.40711,27.03056
1764,2000,Taiwan_Japan,Indo-Pacific,24.7,27.2,0.37533,128.40917,27.0275
1765,2001,Taiwan_Japan,Indo-Pacific,14.4,30.6,-0.23184,128.40911,27.02758
1766,2002,Taiwan_Japan,Indo-Pacific,10.6,9.4,0.4163,128.41128,27.05672
1767,2002,South China Sea,Indo-Pacific,15,52.5,-1.04789,114.30417,22.55067
1768,2003,E Indonesia_PNG,Indo-Pacific,5.6,53.1,-1.50331,123.70028,-5.50194
1770,2000,E Indonesia_PNG,Indo-Pacific,3.1,45,-1.30454,123.69433,-5.49314
1773,2000,E Indonesia_PNG,Indo-Pacific,16.3,59.4,-1.25589,123.77764,-5.586
1774,2003,E Indonesia_PNG,Indo-Pacific,8.1,38.1,-0.80901,123.70686,-5.45719
1777,1997,W Indonesia,Indo-Pacific,13.2,37.7,-0.55764,118.23889,2.20278
1778,2004,Hawaiian Islands,Indo-Pacific,0.6,88.8,-3.10915,-157.80833,21.44083
1782,2000,E Indonesia_PNG,Indo-Pacific,0.6,36.9,-1.10577,123.76403,-5.77181
1784,2003,E Indonesia_PNG,Indo-Pacific,1.9,26.6,-0.65,123.76583,-5.77278
1785,2000,E Indonesia_PNG,Indo-Pacific,5,46.3,-1.26656,123.69556,-5.88358
1788,2004,E Indonesia_PNG,Indo-Pacific,0.6,25.3,-0.65923,150.69164,-2.62808
1789,2004,E Indonesia_PNG,Indo-Pacific,18.4,51.9,-0.86561,150.69164,-2.64631
1790,2004,E Indonesia_PNG,Indo-Pacific,21.3,42.5,-0.37417,150.76086,-2.64086
1794,2005,E. Indian Ocean,Indo-Pacific,0.6,10.6,-0.09201,98.25347,9.13383
1796,2001,Taiwan_Japan,Indo-Pacific,6.3,61.9,-1.81248,132.62833,32.77
1797,2004,South China Sea,Indo-Pacific,0.9,56.3,-1.83964,99.81667,10.11806
1798,2004,South China Sea,Indo-Pacific,4.4,44.1,-1.21083,99.81667,10.09917
1799,2004,E Indonesia_PNG,Indo-Pacific,12.8,66.3,-1.67954,122.77889,-4.03611
1800,2004,E Indonesia_PNG,Indo-Pacific,13.8,39.4,-0.59851,122.67778,-4.03889
1801,2004,E Indonesia_PNG,Indo-Pacific,6.3,24.7,-0.37632,122.79581,-4.05897
1803,2006,Western Pacific,Indo-Pacific,1.9,34.4,-0.95172,134.4735,7.28483
1804,2003,Western Pacific,Indo-Pacific,8.8,14.4,0.13695,134.52567,7.259
1807,2004,Western Pacific,Indo-Pacific,11.3,45,-0.93076,162.90322,5.26878
1808,2005,Western Pacific,Indo-Pacific,0.6,38.1,-1.15404,162.92336,5.31997
1809,2000,Western Pacific,Indo-Pacific,5,66.9,-2.06308,162.93494,5.28322
